Date,Trap_Type,Trap_Number,Size_mm
4/14/2021,minnow,688-P,48
4/14/2021,minnow,1178-B,44.5
4/14/2021,fukui,104-Y,73
4/14/2021,minnow,1351-G,54.5
4/14/2021,minnow,684-P,49
4/27/2021,fukui,619-P,46.5
4/27/2021,fukui,609-P,72
4/27/2021,fukui,20-P,64
4/29/2021,fukui,128-Y,65
4/29/2021,fukui,128-Y,60.5
4/30/2021,fukui,115-Y,81
4/30/2021,fukui,104-Y,68
4/30/2021,minnow,1404-R,45
4/30/2021,fukui,184-Y,69.5
5/11/2021,fukui,1195-Y,45
5/11/2021,fukui,602-P,76
5/11/2021,fukui,690-P,55.5
5/11/2021,fukui,690-P,62
5/11/2021,fukui,609-P,78
5/11/2021,fukui,619-P,63
5/13/2021,fukui,574-P,57
5/14/2021,fukui,602-P,55
5/14/2021,minnow,658-P,49
5/14/2021,minnow,141-P,47
5/14/2021,fukui,164-Y,71.5
5/25/2021,fukui,609-P,81
5/25/2021,fukui,609-P,79
5/25/2021,fukui,609-P,56
5/25/2021,minnow,1323-G,46
5/25/2021,fukui,141-Y,82
5/25/2021,fukui,1489-R,52
5/25/2021,fukui,619-P,66
5/26/2021,fukui,609-P,78
5/27/2021,fukui,194-Y,54
5/27/2021,fukui,581-P,61
5/28/2021,minnow,1400-P,46
6/9/2021,fukui,1489-R,64.5
6/9/2021,fukui,1177-Y,73
6/16/2021,fukui,104-Y,71
6/16/2021,fukui,104-Y,65
6/23/2021,fukui,1187-Y,60
6/23/2021,fukui,1181-Y,50
6/23/2021,fukui,184-Y,85
6/23/2021,fukui,609-P,80
6/23/2021,fukui,609-P,84.5
6/30/2021,shrimp,S.1.B,79.5
6/30/2021,fukui,1195-Y,60
7/7/2021,fukui,1195-Y,85
7/9/2021,fukui,1195-Y,58
8/3/2021,fukui,619-P,69
8/3/2021,fukui,1436-R,59
8/3/2021,fukui,1436-R,58
8/3/2021,fukui,1436-R,58
8/18/2021,fukui,133-Y,72
8/18/2021,fukui,133-Y,68
8/18/2021,fukui,133-Y,63.5
8/18/2021,fukui,133-Y,64
8/18/2021,fukui,133-Y,72
8/18/2021,fukui,1436-R,64
8/18/2021,fukui,1436-R,50
8/18/2021,fukui,1495-R,58
8/18/2021,fukui,1451-R,70
8/18/2021,fukui,148-Y,67
8/18/2021,fukui,1445-R,72
8/18/2021,fukui,1461-R,71
8/18/2021,fukui,1461-R,60
8/18/2021,fukui,1461-R,64
8/19/2021,fukui,1461-R,66
8/24/2021,shrimp,2-G3,83
8/24/2021,shrimp,2-G3,69
8/24/2021,shrimp,2-G3,71
8/24/2021,shrimp,2-G3,76
8/24/2021,shrimp,1-G3,72
8/25/2021,shrimp,2-G3,77
8/25/2021,shrimp,4-B8,84
8/25/2021,shrimp,4-B8,69
8/25/2021,shrimp,4-B8,65
8/26/2021,shrimp,1-G3,66
8/26/2021,shrimp,1-G3,60
9/2/2021,shrimp,1116-B,83
9/2/2021,shrimp,164-P,90
9/2/2021,shrimp,1345-G,88
9/2/2021,shrimp,1107-B,76
9/2/2021,minnow,180-Y,38
9/3/2021,shrimp,1107-B,72
9/3/2021,fukui,629-P,64
9/8/2021,fukui,133-Y,34
9/8/2021,fukui,133-Y,71
9/8/2021,fukui,1179-Y,67
9/9/2021,shrimp,133-P,73
9/9/2021,shrimp,164-P,69
9/9/2021,shrimp,1325-G,76
9/9/2021,shrimp,1153-Pk,70
9/9/2021,shrimp,1154-Pk,75
9/9/2021,shrimp,1154-Pk,70
9/14/2021,shrimp,1154-Pk,73.5
9/14/2021,shrimp,1153-Pk,72
9/14/2021,shrimp,1153-Pk,78
9/14/2021,shrimp,1325-G,79
9/14/2021,shrimp,1325-G,68
9/14/2021,fukui,1190-Y,75
9/15/2021,minnow,687-P,31
9/15/2021,fukui,1193-Y,67
9/16/2021,shrimp,1153-Pk,62
9/16/2021,shrimp,1153-Pk,85
9/16/2021,shrimp,1154-Pk,74
9/16/2021,shrimp,1154-Pk,68
9/16/2021,shrimp,164-P,69
9/16/2021,shrimp,1399-G,71
9/16/2021,shrimp,1397-P,76
9/17/2021,shrimp,133-P,84
9/17/2021,shrimp,1154-Pk,78.5
9/17/2021,minnow,1467-R,38
9/17/2021,shrimp,164-P,83
9/17/2021,shrimp,164-P,76
9/17/2021,shrimp,164-P,69
9/17/2021,shrimp,164-P,61
9/17/2021,shrimp,1116-B,72
9/17/2021,fukui,1194-Y,79.5
9/17/2021,shrimp,197-P,70
9/17/2021,fukui,1491-R,70.5
10/5/2021,shrimp,1397-P,70
10/5/2021,shrimp,1116-B,79
10/5/2021,shrimp,164-P,70.5
10/5/2021,shrimp,N/A,86
10/5/2021,shrimp,N/A,67.5
10/5/2021,shrimp,N/A,70
10/5/2021,shrimp,197-P,64
10/5/2021,shrimp,197-P,58.5
