Date,Trap_Type,Trap_Number
4/13/2021,minnow,1106-Y
4/13/2021,fukui,1357-G
4/13/2021,minnow,142-P
4/13/2021,fukui,1431-R
4/13/2021,minnow,668-P
4/13/2021,fukui,1495-R
4/13/2021,minnow,1481-R
4/13/2021,fukui,1122-B
4/13/2021,fukui,1452-R
4/13/2021,minnow,1084-Y
4/13/2021,fukui,1429-R
4/13/2021,minnow,688-P
4/13/2021,fukui,121-Y
4/13/2021,minnow,183-P
4/13/2021,minnow,1426-R
4/13/2021,fukui,1309-G
4/13/2021,minnow,1320-G
4/13/2021,fukui,22-P
4/13/2021,minnow,174-P
4/13/2021,fukui,611-P
4/13/2021,minnow,1178-B
4/13/2021,fukui,1187-Y
4/13/2021,fukui,1194-Y
4/13/2021,minnow,1131-Y
4/13/2021,minnow,57-P
4/13/2021,fukui,1121-B
4/13/2021,fukui,1311-G
4/13/2021,minnow,678-P
4/13/2021,minnow,1389-G
4/13/2021,fukui,1124-B
4/13/2021,minnow,1151-Y
4/13/2021,fukui,1408-R
4/13/2021,minnow,1399-G
4/13/2021,fukui,1406-R
4/13/2021,minnow,160-P
4/13/2021,fukui,1316-G
4/13/2021,minnow,1107-Y
4/13/2021,fukui,1314-G
4/13/2021,minnow,161-P
4/13/2021,fukui,1141-B
4/13/2021,minnow,158-P
4/13/2021,fukui,176-Y
4/13/2021,minnow,1323-G
4/13/2021,fukui,1436-R
4/13/2021,fukui,1358-G
4/13/2021,minnow,196-P
4/13/2021,fukui,1432-R
4/13/2021,minnow,1154-Y
4/13/2021,fukui,871-R
4/13/2021,minnow,1388-P
4/13/2021,minnow,1383-P
4/13/2021,fukui,164-Y
4/13/2021,minnow,658-P
4/13/2021,fukui,1394-G
4/13/2021,minnow,1182-B
4/13/2021,fukui,1101-Y
4/13/2021,minnow,1404-R
4/13/2021,fukui,177-Y
4/13/2021,minnow,141-P
4/13/2021,fukui,149-Y
4/13/2021,minnow,51-P
4/13/2021,fukui,1172-Y
4/13/2021,minnow,1378-P
4/13/2021,fukui,1304-G
4/13/2021,minnow,147-Y
4/13/2021,fukui,104-Y
4/13/2021,minnow,168-P
4/13/2021,fukui,1312-G
4/13/2021,minnow,1351-G
4/13/2021,fukui,581-P
4/13/2021,fukui,1361-G
4/13/2021,minnow,172-P
4/13/2021,fukui,12-P
4/13/2021,minnow,1427-R
4/13/2021,fukui,145-Y
4/13/2021,minnow,684-P
4/13/2021,fukui,367-R
4/13/2021,minnow,630-P
4/13/2021,fukui,20-P
4/13/2021,minnow,1425-R
4/13/2021,fukui,1136-B
4/13/2021,minnow,1467-R
4/13/2021,fukui,1489-R
4/13/2021,minnow,1413-R
4/13/2021,fukui,1356-G
4/13/2021,minnow,1397-P
4/13/2021,fukui,128-Y
4/13/2021,minnow,637-P
4/13/2021,fukui,573-P
4/13/2021,minnow,1148-B
4/13/2021,fukui,23-P
4/13/2021,minnow,1092-Y
4/13/2021,fukui,1190-Y
4/13/2021,minnow,173-Y
4/13/2021,fukui,1100-Y
4/13/2021,minnow,1142-B
4/13/2021,fukui,123-Y
4/13/2021,minnow,681-P
4/13/2021,fukui,115-Y
4/13/2021,minnow,166-P
4/14/2021,minnow,1106-Y
4/14/2021,fukui,1357-G
4/14/2021,minnow,142-P
4/14/2021,fukui,1431-R
4/14/2021,minnow,668-P
4/14/2021,fukui,1495-R
4/14/2021,minnow,1481-R
4/14/2021,fukui,1122-B
4/14/2021,fukui,1452-R
4/14/2021,minnow,1084-Y
4/14/2021,fukui,1429-R
4/14/2021,minnow,688-P
4/14/2021,fukui,121-Y
4/14/2021,minnow,183-P
4/14/2021,minnow,1426-R
4/14/2021,fukui,1309-G
4/14/2021,minnow,1320-G
4/14/2021,fukui,22-P
4/14/2021,minnow,174-P
4/14/2021,fukui,611-P
4/14/2021,minnow,1178-B
4/14/2021,fukui,1187-Y
4/14/2021,fukui,1194-Y
4/14/2021,minnow,1131-Y
4/14/2021,minnow,57-P
4/14/2021,fukui,1121-B
4/14/2021,fukui,1311-G
4/14/2021,minnow,678-P
4/14/2021,minnow,1389-G
4/14/2021,fukui,1124-B
4/14/2021,minnow,1151-Y
4/14/2021,fukui,1408-R
4/14/2021,minnow,1399-G
4/14/2021,fukui,1406-R
4/14/2021,minnow,160-P
4/14/2021,fukui,1316-G
4/14/2021,minnow,1107-Y
4/14/2021,fukui,1314-G
4/14/2021,minnow,161-P
4/14/2021,fukui,1141-B
4/14/2021,minnow,158-P
4/14/2021,fukui,176-Y
4/14/2021,minnow,1323-G
4/14/2021,fukui,1436-R
4/14/2021,fukui,1358-G
4/14/2021,minnow,196-P
4/14/2021,fukui,1432-R
4/14/2021,minnow,1154-Y
4/14/2021,fukui,871-R
4/14/2021,minnow,1388-P
4/14/2021,minnow,1383-P
4/14/2021,fukui,164-Y
4/14/2021,minnow,658-P
4/14/2021,fukui,1394-G
4/14/2021,minnow,1182-B
4/14/2021,fukui,1101-Y
4/14/2021,minnow,1404-R
4/14/2021,fukui,177-Y
4/14/2021,minnow,141-P
4/14/2021,fukui,149-Y
4/14/2021,minnow,51-P
4/14/2021,fukui,1172-Y
4/14/2021,minnow,1378-P
4/14/2021,fukui,1304-G
4/14/2021,minnow,147-Y
4/14/2021,fukui,104-Y
4/14/2021,minnow,168-P
4/14/2021,fukui,1312-G
4/14/2021,minnow,1351-G
4/14/2021,fukui,581-P
4/14/2021,fukui,1361-G
4/14/2021,minnow,172-P
4/14/2021,fukui,12-P
4/14/2021,minnow,1427-R
4/14/2021,fukui,145-Y
4/14/2021,minnow,684-P
4/14/2021,fukui,367-R
4/14/2021,minnow,630-P
4/14/2021,fukui,20-P
4/14/2021,minnow,1425-R
4/14/2021,fukui,1136-B
4/14/2021,minnow,1467-R
4/14/2021,fukui,1489-R
4/14/2021,minnow,1413-R
4/14/2021,fukui,1356-G
4/14/2021,minnow,1397-P
4/14/2021,fukui,128-Y
4/14/2021,minnow,637-P
4/14/2021,fukui,573-P
4/14/2021,minnow,1148-B
4/14/2021,fukui,23-P
4/14/2021,minnow,1092-Y
4/14/2021,fukui,1190-Y
4/14/2021,minnow,173-Y
4/14/2021,fukui,1100-Y
4/14/2021,minnow,1142-B
4/14/2021,fukui,123-Y
4/14/2021,minnow,681-P
4/14/2021,fukui,115-Y
4/14/2021,minnow,166-P
4/15/2021,minnow,1106-Y
4/15/2021,fukui,1357-G
4/15/2021,minnow,142-P
4/15/2021,fukui,1431-R
4/15/2021,minnow,668-P
4/15/2021,fukui,1495-R
4/15/2021,minnow,1481-R
4/15/2021,fukui,1122-B
4/15/2021,fukui,1452-R
4/15/2021,minnow,1084-Y
4/15/2021,fukui,1429-R
4/15/2021,minnow,688-P
4/15/2021,fukui,121-Y
4/15/2021,minnow,183-P
4/15/2021,minnow,1426-R
4/15/2021,fukui,1309-G
4/15/2021,minnow,1320-G
4/15/2021,fukui,22-P
4/15/2021,minnow,174-P
4/15/2021,fukui,611-P
4/15/2021,minnow,1178-B
4/15/2021,fukui,1187-Y
4/15/2021,fukui,1194-Y
4/15/2021,minnow,1131-Y
4/15/2021,minnow,57-P
4/15/2021,fukui,1121-B
4/15/2021,fukui,1311-G
4/15/2021,minnow,678-P
4/15/2021,minnow,1389-G
4/15/2021,fukui,1124-B
4/15/2021,minnow,1383-P
4/15/2021,fukui,164-Y
4/15/2021,minnow,658-P
4/15/2021,fukui,1394-G
4/15/2021,minnow,1182-B
4/15/2021,fukui,1101-Y
4/15/2021,minnow,1404-R
4/15/2021,fukui,177-Y
4/15/2021,minnow,141-P
4/15/2021,fukui,149-Y
4/15/2021,minnow,51-P
4/15/2021,fukui,1172-Y
4/15/2021,minnow,1378-P
4/15/2021,fukui,1304-G
4/15/2021,minnow,147-Y
4/15/2021,fukui,104-Y
4/15/2021,minnow,168-P
4/15/2021,fukui,1312-G
4/15/2021,minnow,1351-G
4/15/2021,fukui,581-P
4/15/2021,fukui,1361-G
4/15/2021,minnow,172-P
4/15/2021,fukui,12-P
4/15/2021,minnow,1427-R
4/15/2021,fukui,145-Y
4/15/2021,minnow,684-P
4/15/2021,fukui,367-R
4/15/2021,minnow,630-P
4/15/2021,fukui,20-P
4/15/2021,minnow,1425-R
4/15/2021,fukui,1136-B
4/15/2021,minnow,1467-R
4/15/2021,fukui,1489-R
4/15/2021,minnow,1413-R
4/15/2021,fukui,1356-G
4/15/2021,minnow,1397-P
4/15/2021,fukui,128-Y
4/15/2021,minnow,637-P
4/15/2021,fukui,573-P
4/15/2021,minnow,1148-B
4/15/2021,fukui,23-P
4/15/2021,minnow,1092-Y
4/15/2021,fukui,1190-Y
4/15/2021,minnow,173-Y
4/15/2021,fukui,1100-Y
4/15/2021,minnow,1142-B
4/15/2021,fukui,123-Y
4/15/2021,minnow,681-P
4/15/2021,fukui,115-Y
4/15/2021,minnow,166-P
4/16/2021,minnow,1106-Y
4/16/2021,fukui,1357-G
4/16/2021,minnow,142-P
4/16/2021,fukui,1431-R
4/16/2021,minnow,668-P
4/16/2021,fukui,1495-R
4/16/2021,minnow,1481-R
4/16/2021,fukui,1122-B
4/16/2021,fukui,1452-R
4/16/2021,minnow,1084-Y
4/16/2021,fukui,1429-R
4/16/2021,minnow,688-P
4/16/2021,fukui,121-Y
4/16/2021,minnow,183-P
4/16/2021,minnow,1426-R
4/16/2021,fukui,1309-G
4/16/2021,minnow,1320-G
4/16/2021,fukui,22-P
4/16/2021,minnow,174-P
4/16/2021,fukui,611-P
4/16/2021,minnow,1178-B
4/16/2021,fukui,1187-Y
4/16/2021,fukui,1194-Y
4/16/2021,minnow,1131-Y
4/16/2021,minnow,57-P
4/16/2021,fukui,1121-B
4/16/2021,fukui,1311-G
4/16/2021,minnow,678-P
4/16/2021,minnow,1389-G
4/16/2021,fukui,1124-B
4/16/2021,minnow,1383-P
4/16/2021,fukui,164-Y
4/16/2021,minnow,658-P
4/16/2021,fukui,1394-G
4/16/2021,minnow,1182-B
4/16/2021,fukui,1101-Y
4/16/2021,minnow,1404-R
4/16/2021,fukui,177-Y
4/16/2021,minnow,141-P
4/16/2021,fukui,149-Y
4/16/2021,minnow,51-P
4/16/2021,fukui,1172-Y
4/16/2021,minnow,1378-P
4/16/2021,fukui,1304-G
4/16/2021,minnow,147-Y
4/16/2021,fukui,104-Y
4/16/2021,minnow,168-P
4/16/2021,fukui,1312-G
4/16/2021,minnow,1351-G
4/16/2021,fukui,581-P
4/16/2021,fukui,1361-G
4/16/2021,minnow,172-P
4/16/2021,fukui,12-P
4/16/2021,minnow,1427-R
4/16/2021,fukui,145-Y
4/16/2021,minnow,684-P
4/16/2021,fukui,367-R
4/16/2021,minnow,630-P
4/16/2021,fukui,20-P
4/16/2021,minnow,1425-R
4/16/2021,fukui,1136-B
4/16/2021,minnow,1467-R
4/16/2021,fukui,1489-R
4/16/2021,minnow,1413-R
4/16/2021,fukui,1356-G
4/16/2021,minnow,1397-P
4/16/2021,fukui,128-Y
4/16/2021,minnow,637-P
4/16/2021,fukui,573-P
4/16/2021,minnow,1148-B
4/16/2021,fukui,23-P
4/16/2021,minnow,1092-Y
4/16/2021,fukui,1190-Y
4/16/2021,minnow,173-Y
4/16/2021,fukui,1100-Y
4/16/2021,minnow,1142-B
4/16/2021,fukui,123-Y
4/16/2021,minnow,681-P
4/16/2021,fukui,115-Y
4/16/2021,minnow,166-P
4/27/2021,minnow,154-P
4/27/2021,fukui,618-P
4/27/2021,minnow,1081-Y
4/27/2021,fukui,23-P
4/27/2021,minnow,73-P
4/27/2021,fukui,644-P
4/27/2021,minnow,1343-G
4/27/2021,fukui,176-P
4/27/2021,fukui,690-P
4/27/2021,minnow,75-P
4/27/2021,fukui,602-P
4/27/2021,minnow,1423-R
4/27/2021,fukui,19-P
4/27/2021,minnow,1388-P
4/27/2021,minnow,161-P
4/27/2021,fukui,619-P
4/27/2021,minnow,1323-G
4/27/2021,fukui,570-P
4/27/2021,minnow,160-P
4/27/2021,fukui,621-P
4/27/2021,minnow,1119-Y
4/27/2021,fukui,609-Y
4/27/2021,fukui,20-P
4/27/2021,minnow,139-Y
4/27/2021,minnow,1400-P
4/27/2021,fukui,574-P
4/27/2021,fukui,12-P
4/27/2021,minnow,185-Y
4/27/2021,minnow,158-P
4/27/2021,fukui,648-P
4/27/2021,minnow,668-P
4/27/2021,fukui,166-Y
4/27/2021,minnow,1320-G
4/27/2021,fukui,194-Y
4/27/2021,minnow,57-P
4/27/2021,fukui,115-Y
4/27/2021,minnow,1131-Y
4/27/2021,fukui,178-Y
4/27/2021,minnow,1404-R
4/27/2021,fukui,104-Y
4/27/2021,minnow,142-P
4/27/2021,fukui,184-Y
4/27/2021,minnow,1106-Y
4/27/2021,fukui,1156-Y
4/27/2021,minnow,1426-R
4/27/2021,fukui,1181-Y
4/27/2021,minnow,1178-B
4/27/2021,fukui,1100-Y
4/27/2021,minnow,141-P
4/27/2021,fukui,141-Y
4/27/2021,fukui,128-Y
4/27/2021,minnow,146-P
4/27/2021,fukui,176-Y
4/27/2021,minnow,184-P
4/27/2021,fukui,1172-Y
4/27/2021,minnow,1121-Y
4/27/2021,fukui,1175-Y
4/27/2021,minnow,1072-B
4/27/2021,fukui,148-Y
4/27/2021,minnow,182-Y
4/27/2021,fukui,1177-Y
4/27/2021,minnow,193-P
4/27/2021,fukui,145-Y
4/27/2021,minnow,192-P
4/27/2021,fukui,123-Y
4/27/2021,minnow,662-P
4/27/2021,fukui,121-Y
4/27/2021,minnow,157-P
4/27/2021,fukui,1190-Y
4/27/2021,minnow,35-P
4/27/2021,fukui,119-Y
4/27/2021,minnow,1399-G
4/27/2021,fukui,1167-Y
4/27/2021,minnow,1151-Y
4/27/2021,fukui,164-Y
4/27/2021,minnow,196-P
4/27/2021,fukui,1195-Y
4/27/2021,minnow,1107-Y
4/27/2021,fukui,1187-Y
4/27/2021,minnow,1154-Y
4/28/2021,minnow,154-P
4/28/2021,fukui,618-P
4/28/2021,minnow,1081-Y
4/28/2021,fukui,23-P
4/28/2021,minnow,73-P
4/28/2021,fukui,644-P
4/28/2021,minnow,1343-G
4/28/2021,fukui,176-P
4/28/2021,fukui,690-P
4/28/2021,minnow,75-P
4/28/2021,fukui,602-P
4/28/2021,minnow,1423-R
4/28/2021,fukui,19-P
4/28/2021,minnow,1388-P
4/28/2021,minnow,161-P
4/28/2021,fukui,619-P
4/28/2021,minnow,1323-G
4/28/2021,fukui,570-P
4/28/2021,minnow,160-P
4/28/2021,fukui,621-P
4/28/2021,minnow,1119-Y
4/28/2021,fukui,609-Y
4/28/2021,fukui,20-P
4/28/2021,minnow,139-Y
4/28/2021,minnow,1400-P
4/28/2021,fukui,574-P
4/28/2021,fukui,12-P
