WA_ID,WDFW_ID,WSG_ID,Other_ID,Type,Scientific_Name,Common_Name,Date_Observed,Date_Reported,Day,Month,Year,Management_Area,Waterbody,Site_ID,Site_Name,Site_Info,County,Latitude,Longitude,Accuracy,Sex,CW_mm,NW_mm,Limb_Status,Color,Eggs,Condition,Barnacles,YearClass_Estimation,Trap_Type,Trap_Number,Trap_Info,Bait,ReportingParty,ReportingParty_PhoneNumber,ReportingParty_Email,ConfirmingParty,Confirming_Evidence,PicturePath_Media,Genetics,Database_Recorder,Notes,Data_Source,TrackedChanges,,,
,DH.2021.0001,WASS.2021.0004,N/A,Crustacean,Carcinus maenas,European Green Crab,4/14/2021,4/14/2021,14,4,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988684,-122.75473,Actual,Male,48,N/A,"Lr1,4",Light-Orange,N/A,Live,No,2020,Minnow,688-P,C.P.12,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0002,WASS.2021.0005,N/A,Crustacean,Carcinus maenas,European Green Crab,4/14/2021,4/14/2021,14,4,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988615,-122.753806,Actual,Male,44.5,N/A,Good,Light-Orange,N/A,Live,No,2020,Minnow,1178-B,C.P.21,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0003,WASS.2021.0006,N/A,Crustacean,Carcinus maenas,European Green Crab,4/14/2021,4/14/2021,14,4,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97378,-122.734431,Actual,Male,73,N/A,Rr3,Orange,N/A,Live,No,2019,Fukui,104-Y,C.DC.16,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0004,WASS.2021.0007,N/A,Crustacean,Carcinus maenas,European Green Crab,4/14/2021,4/14/2021,14,4,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973824,-122.735038,Actual,Male,54.5,N/A,R2,Light-Orange,N/A,Live,No,2020,Minnow,1351-G,C.DC.19,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,"Tag number changed from 1331-G to 1351-G, EGC tag replaced - LP",,,
,DH.2021.0005,WASS.2021.0008,N/A,Crustacean,Carcinus maenas,European Green Crab,4/14/2021,4/14/2021,14,4,2021,San Juan Islands,Drayton Harbor,N/A,California Creek,Core,Whatcom,48.96175,-122.733996,Actual,Male,49,N/A,L5,Light-Orange,N/A,Live,No,2020,Minnow,684-P,C.CC.06,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0006,WASS.2021.0010,N/A,Crustacean,Carcinus maenas,European Green Crab,4/27/2021,4/27/2021,27,4,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988841,-122.754293,Actual,Female,46.5,N/A,Lr2,Green,No,Live,No,2020,Fukui,619-P,C.P.16,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0007,WASS.2021.0011,N/A,Crustacean,Carcinus maenas,European Green Crab,4/27/2021,4/27/2021,27,4,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988521,-122.753649,Actual,Male,72,N/A,"L1,2",Red/Orange,N/A,Live,Yes,2019,Fukui,609-P,C.P.22,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0008,WASS.2021.0012,N/A,Crustacean,Carcinus maenas,European Green Crab,4/27/2021,4/27/2021,27,4,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.989406,-122.754144,Actual,Male,64,N/A,"Lr1,2",Red/Orange,N/A,Live,Yes,2019,Fukui,20-P,C.P.23,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0009,WASS.2021.0013,N/A,Crustacean,Carcinus maenas,European Green Crab,4/28/2021,4/28/2021,28,4,2021,San Juan Islands,Drayton Harbor,N/A,California Creek,Found in small pipe remnant near I.CC.M,Whatcom,48.962307,-122.734433,Actual,Male,73,N/A,L2,Light-Orange,N/A,Live,No,2019,Hand,N/A,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0010,WASS.2021.0014,N/A,Crustacean,Carcinus maenas,European Green Crab,4/29/2021,4/29/2021,29,4,2021,San Juan Islands,Drayton Harbor,N/A,California Creek,Index; Mouth,Whatcom,48.962567,-122.734016,Actual,Female,65,N/A,R1,Red/Orange,No,Live,No,2019,Fukui,128-Y,I.CC.M.06,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
