Assessment_Type,Date_Deployed,Date_Retrieved,StartTime_Deployed,EndTime_Deployed,StartTime_Retrieved,EndTime_Retrieved,Weather,Personnel,Management_Area,Waterbody,Site_ID,Site_Name,Site_Info,County,Trap_Effort,Trap_Type,Trap_Number,Trap_Info,Bait,Latitude,Longitude,Date_Checked,CAMA_Total,CAMA_Male,CAMA_Female,HEOR,LEAR,HENU,GAAC,CYAG,MEMA,PAHI,PAGR,COAS,OLMA,FLAT,PLST,BAAT,NASS,BROK,SAND,BUBB,ILOB,JELL,TECH,Other_Bycatch,Mortalities,Notes,Data_Source,TrackedChanges,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1106-Y,C.P.01,Mackerel,48.988989,-122.755793,4/13/2021,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,All tags and traps had spat settlement on them. Likely barnacle set.,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1357-G,C.P.02,Mackerel,48.989081,-122.755697,4/13/2021,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,142-P,C.P.03,Mackerel,48.989148,-122.755547,4/13/2021,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1431-R,C.P.04,Mackerel,48.989186,-122.755448,4/13/2021,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-,WDFW,Changed trap number from 1431-P to 1431-R - CB 12/22/2021,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,668-P,C.P.05,Mackerel,48.989014,-122.755339,4/13/2021,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1495-R,C.P.06,Mackerel,48.988945,-122.755304,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1481-R,C.P.07,Mackerel,48.98891,-122.755218,4/13/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1122-B,C.P.08,Mackerel,48.98893,-122.75506,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1452-R,C.P.09,Mackerel,48.988736,-122.75504,4/13/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1084-Y,C.P.10,Mackerel,48.988674,-122.754934,4/13/2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,-,WDFW,,,,,,,,,,,
