Date,Trap_Type,Trap_Number
05/28/20,Fukui,11
05/28/20,Fukui,629
05/28/20,Fukui,12
05/28/20,Fukui,22
05/28/20,Fukui,381
05/28/20,Fukui,46
05/28/20,Fukui,23
05/28/20,Fukui,1
05/28/20,Fukui,15
05/28/20,Fukui,24
05/28/20,Fukui,7
05/28/20,Fukui,8
05/28/20,Fukui,2
05/28/20,Fukui,3
05/28/20,Fukui,45
05/28/20,Minnow,59
05/28/20,Minnow,52
05/28/20,Minnow,389
05/28/20,Minnow,388
05/28/20,Minnow,63
05/28/20,Minnow,1079
05/28/20,Minnow,373
05/28/20,Minnow,1072
05/28/20,Minnow,1184
05/28/20,Minnow,1148
05/28/20,Fukui,612
05/28/20,Minnow,1060
05/28/20,Fukui,638
05/28/20,Minnow,1075
05/28/20,Fukui,633
05/28/20,Minnow,377
05/28/20,Fukui,621
05/28/20,Minnow,1149
05/28/20,Fukui,624
05/28/20,Minnow,1142
05/28/20,Fukui,603
05/28/20,Minnow,379
05/29/20,Minnow,1074
05/29/20,Fukui,620
05/29/20,Minnow,1193
05/29/20,Fukui,627
05/29/20,Minnow,1069
05/29/20,Fukui,619
05/29/20,Minnow,376
05/29/20,Fukui,572
05/29/20,Fukui,608
05/29/20,Minnow,1059
05/29/20,Fukui,1143
05/29/20,Minnow,1178
05/29/20,Fukui,623
05/29/20,Minnow,378
05/29/20,Minnow,1198
05/29/20,Fukui,1141
05/29/20,Minnow,1073
05/29/20,Fukui,636
05/29/20,Minnow,1068
05/29/20,Fukui,1147
05/29/20,Minnow,1176
05/29/20,Fukui,628
05/29/20,Fukui,618
05/29/20,Minnow,1065
05/29/20,Minnow,1183
05/29/20,Fukui,640
05/29/20,Fukui,604
05/29/20,Minnow,1199
05/28/20,Minnow,51
05/28/20,Fukui,635
05/28/20,Minnow,62
05/28/20,Fukui,609
05/28/20,Minnow,57
05/28/20,Fukui,616
05/28/20,Minnow,1187
05/28/20,Fukui,648
05/28/20,Minnow,345
05/28/20,Fukui,574
05/28/20,Minnow,127
05/28/20,Fukui,369
05/28/20,Minnow,1368
05/28/20,Fukui,366
05/28/20,Minnow,1385
05/28/20,Fukui,1144
05/28/20,Minnow,1367
05/28/20,Fukui,645
05/28/20,Minnow,685
05/28/20,Fukui,644
05/28/20,Minnow,1372
05/28/20,Fukui,570
05/28/20,Minnow,64
05/28/20,Fukui,573
05/29/20,Minnow,1149
05/29/20,Fukui,603
05/29/20,Minnow,377
05/29/20,Fukui,624
