Date,Trap_Type,Trap_Number,Size_mm
4/14/21,Minnow,688-P,48
4/14/21,Minnow,1178-B,44.5
4/14/21,Fukui,104-Y,73
4/14/21,Minnow,1351-G,54.5
4/14/21,Minnow,684-P,49
4/27/21,Fukui,619-P,46.5
4/27/21,Fukui,609-P,72
4/27/21,Fukui,20-P,64
4/28/21,Hand,N/A,73
4/29/21,Fukui,128-Y,65
4/29/21,Fukui,128-Y,60.5
4/30/21,Fukui,115-Y,81
4/30/21,Fukui,104-Y,68
4/30/21,Minnow,1404-R,45
4/30/21,Fukui,184-Y,69.5
5/11/21,Fukui,1195-Y,45
5/11/21,Fukui,602-P,76
5/11/21,Fukui,690-P,55.5
5/11/21,Fukui,690-P,62
5/11/21,Fukui,609-P,78
5/11/21,Fukui,619-P,63
5/13/21,Fukui,574-P,57
5/14/21,Fukui,602-P,55
5/14/21,Minnow,658-P,49
5/14/21,Minnow,141-P,47
5/14/21,Fukui,164-Y,71.5
5/25/21,Fukui,609-P,81
5/25/21,Fukui,609-P,79
5/25/21,Fukui,609-P,56
5/25/21,Minnow,1323-G,46
5/25/21,Fukui,141-Y,82
5/25/21,Fukui,1489-R,52
5/25/21,Fukui,619-P,66
5/26/21,Fukui,609-P,78
5/27/21,Fukui,194-Y,54
5/27/21,Fukui,581-P,61
5/28/21,Minnow,1400-P,46
6/9/21,Fukui,1489-R,64.5
6/9/21,Fukui,1177-Y,73
6/16/21,Fukui,104-Y,71
6/16/21,Fukui,104-Y,65
6/23/21,Fukui,1187-Y,60
6/23/21,Fukui,1181-Y,50
6/23/21,Fukui,184-Y,85
6/23/21,Fukui,609-P,80
6/23/21,Fukui,609-P,84.5
6/29/21,Hand,N/A,81.5
6/30/21,Shrimp,S.1.B,79.5
6/30/21,Fukui,1195-Y,60
7/7/21,Fukui,1195-Y,85
7/9/21,Fukui,1195-Y,58
8/3/21,Fukui,619-P,69
8/3/21,Fukui,1436-R,59
8/3/21,Fukui,1436-R,58
8/3/21,Fukui,1436-R,58
8/18/21,Fukui,133-Y,72
8/18/21,Fukui,133-Y,68
8/18/21,Fukui,133-Y,63.5
8/18/21,Fukui,133-Y,64
8/18/21,Fukui,133-Y,72
8/18/21,Fukui,1436-R,64
8/18/21,Fukui,1436-R,50
8/18/21,Fukui,1495-R,58
8/18/21,Fukui,1451-R,70
8/18/21,Fukui,148-Y,67
8/18/21,Fukui,1445-R,72
8/18/21,Fukui,1461-R,71
8/18/21,Fukui,1461-R,60
8/18/21,Fukui,1461-R,64
8/19/21,Fukui,1461-R,66
8/24/21,Shrimp,2-G3,83
8/24/21,Shrimp,2-G3,69
8/24/21,Shrimp,2-G3,71
8/24/21,Shrimp,2-G3,76
8/24/21,Shrimp,1-G3,72
8/25/21,Shrimp,2-G3,77
8/25/21,Shrimp,4-B8,84
8/25/21,Shrimp,4-B8,69
8/25/21,Shrimp,4-B8,65
8/26/21,Shrimp,1-G3,66
8/26/21,Shrimp,1-G3,60
9/2/21,Shrimp,1116-B,83
9/2/21,Shrimp,164-P,90
9/2/21,Shrimp,1345-G,88
9/2/21,Shrimp,1107-B,76
9/2/21,Minnow,180-Y,38
9/3/21,Shrimp,1107-B,72
9/3/21,Fukui,629-P,64
9/8/21,Fukui,133-Y,34
9/8/21,Fukui,133-Y,71
9/8/21,Fukui,1179-Y,67
9/9/21,Shrimp,133-P,73
9/9/21,Shrimp,164-P,69
9/9/21,Shrimp,1325-G,76
9/9/21,Shrimp,1153-Pk,70
9/9/21,Shrimp,1154-Pk,75
9/9/21,Shrimp,1154-Pk,70
9/14/21,Shrimp,1154-Pk,73.5
9/14/21,Shrimp,1153-Pk,72
9/14/21,Shrimp,1153-Pk,78
9/14/21,Shrimp,1325-G,79
9/14/21,Shrimp,1325-G,68
9/14/21,Fukui,1190-Y,75
9/15/21,Minnow,687-P,31
9/15/21,Fukui,1193-Y,67
9/16/21,Shrimp,1153-Pk,62
9/16/21,Shrimp,1153-Pk,85
9/16/21,Shrimp,1154-Pk,74
9/16/21,Shrimp,1154-Pk,68
9/16/21,Shrimp,164-P,69
9/16/21,Shrimp,1399-G,71
9/16/21,Shrimp,1397-P,76
9/17/21,Shrimp,133-P,84
9/17/21,Shrimp,1154-Pk,78.5
9/17/21,Minnow,1467-R,38
9/17/21,Shrimp,164-P,83
9/17/21,Shrimp,164-P,76
9/17/21,Shrimp,164-P,69
9/17/21,Shrimp,164-P,61
9/17/21,Shrimp,1116-B,72
9/17/21,Fukui,1194-Y,79.5
9/17/21,Shrimp,197-P,70
9/17/21,Fukui,1491-R,70.5
10/5/21,Shrimp,1397-P,70
10/5/21,Shrimp,1116-B,79
10/5/21,"Shrimp - 1/2""",105-Y,80
10/5/21,"Shrimp - 1/2""",106-Y,65
10/5/21,Shrimp,164-P,70.5
10/5/21,Shrimp,N/A,86
10/5/21,Shrimp,N/A,67.5
10/5/21,Shrimp,N/A,70
10/5/21,Shrimp,197-P,64
10/5/21,Shrimp,197-P,58.5
10/5/21,Shrimp,1399-G,75
10/5/21,Shrimp,1399-G,67.5
10/5/21,Shrimp,1399-G,74
10/5/21,Shrimp,1399-G,78
10/5/21,Shrimp,1399-G,57
10/5/21,Shrimp,1399-G,66
10/5/21,Shrimp,1399-G,68
10/5/21,Shrimp,1399-G,65.5
10/5/21,Shrimp,133-P,76.5
10/5/21,Shrimp,133-P,72
10/6/21,"Shrimp - 1/2""",105-Y,72.5
10/6/21,"Shrimp - 1/2""",105-Y,73
10/6/21,"Shrimp - 1/2""",105-Y,73.5
3/9/22,Hand,N/A,-
3/9/22,Hand,N/A,-
3/9/22,Hand,N/A,-
3/9/22,Hand,N/A,-
3/9/22,Hand,N/A,
3/17/22,Hand,N/A,
3/25/22,Hand,N/A,
4/19/22,Shrimp,1191-R,75
4/19/22,Shrimp,1191-R,78.5
4/19/22,Shrimp,1191-R,71.5
5/3/22,Shrimp,3090-P,41.5
5/3/22,Shrimp,3090-P,72
5/3/22,Shrimp,1379-P,68
5/3/22,Shrimp,1379-P,83
5/3/22,Shrimp,1379-P,84
5/3/22,Shrimp,1379-P,78.5
5/4/22,Shrimp,1379-P,71.5
5/4/22,Shrimp,1379-P,72
5/5/22,Fukui,1176-Y,76
5/17/22,Fukui,3153-P,46.5
5/17/22,Shrimp,3100-P,65
5/17/22,Shrimp,3085-P,73
5/17/22,Shrimp,3085-P,72.5
5/17/22,Shrimp,3085-P,75
5/18/22,Shrimp,3100-P,65
6/1/22,Shrimp,893-G,88
6/1/22,Shrimp,893-G,90
6/1/22,Shrimp,1191-R,83
6/2/22,Shrimp,3085-P,82
6/14/22,Fukui,3161-P,33
6/14/22,Minnow,1383-P,35
6/14/22,Shrimp,3085-P,70
6/14/22,Shrimp,3100-P,85
6/15/22,Minnow,1368-P,52
6/15/22,Shrimp,3100-P,83.5
6/16/22,Shrimp,3085-P,79
6/28/22,Shrimp,1379-P,91
6/28/22,Shrimp,3100-P,83
6/28/22,Shrimp,3100-P,67
6/28/22,Shrimp,3100-P,75
6/28/22,Shrimp,3100-P,73
6/28/22,Shrimp,3100-P,65
6/28/22,Shrimp,3085-P,63
6/29/22,Shrimp,1379-P,82
6/29/22,Shrimp,1379-P,80
6/29/22,Shrimp,876-G,66
6/29/22,Shrimp,3085-P,71
6/29/22,Shrimp,876-G,66
6/29/22,Shrimp,3101-P,70
6/29/22,Shrimp,876-G,72
6/29/22,Fukui,3158-P,72
6/30/22,Fukui,3158-P,50
6/30/22,Shrimp,876-G,85
6/30/22,Shrimp,3101-P,71
6/30/22,Shrimp,3101-P,69
6/30/22,Shrimp,3100-P,63
7/1/22,Shrimp,879-G,79
7/1/22,Shrimp,697-P,85
7/1/22,Shrimp,3085-P,74
7/1/22,Shrimp,3100-P,62
7/6/22,Shrimp,3174-P,81
7/6/22,Shrimp,3174-P,89.5
7/6/22,Shrimp,3174-P,37.5
7/6/22,Shrimp,3174-P,56
7/6/22,Shrimp,1151-P,79
7/20/22,Shrimp,1157-R,89
7/20/22,Shrimp,1157-R,70
7/20/22,Shrimp,3100-P,75
7/20/22,Shrimp,3100-P,82
7/20/22,Shrimp,3100-P,84
7/20/22,Shrimp,3100-P,72
7/22/22,Shrimp,893-G,65
7/22/22,Shrimp,697-P,81
7/22/22,Shrimp,879-G,87
7/22/22,Shrimp,879-G,89
7/26/22,Shrimp,879-G,68
7/26/22,Shrimp,879-G,44.5
7/26/22,Shrimp,879-G,65
7/26/22,Minnow,192-P,54
7/26/22,Shrimp ,1166-R,83
7/27/22,Shrimp,879-G,60
7/27/22,Shrimp,879-G,56.5
7/27/22,Shrimp,879-G,93.5
7/27/22,Minnow,1398-G,43.5
