Date,Trap_Type,Trap_Number
4/13/21,Minnow,1106-Y
4/13/21,Fukui,1357-G
4/13/21,Minnow,142-P
4/13/21,Fukui,1431-R
4/13/21,Minnow,668-P
4/13/21,Fukui,1495-R
4/13/21,Minnow,1481-R
4/13/21,Fukui,1122-B
4/13/21,Fukui,1452-R
4/13/21,Minnow,1084-Y
4/13/21,Fukui,1429-R
4/13/21,Minnow,688-P
4/13/21,Fukui,121-Y
4/13/21,Minnow,183-P
4/13/21,Minnow,1426-R
4/13/21,Fukui,1309-G
4/13/21,Minnow,1320-G
4/13/21,Fukui,22-P
4/13/21,Minnow,174-P
4/13/21,Fukui,611-P
4/13/21,Minnow,1178-B
4/13/21,Fukui,1187-Y
4/13/21,Fukui,1194-Y
4/13/21,Minnow,1131-Y
4/13/21,Minnow,57-P
4/13/21,Fukui,1121-B
4/13/21,Fukui,1311-G
4/13/21,Minnow,678-P
4/13/21,Minnow,1389-G
4/13/21,Fukui,1124-B
4/13/21,Minnow,1151-Y
4/13/21,Fukui,1408-R
4/13/21,Minnow,1399-G
4/13/21,Fukui,1406-R
4/13/21,Minnow,160-P
4/13/21,Fukui,1316-G
4/13/21,Minnow,1107-Y
4/13/21,Fukui,1314-G
4/13/21,Minnow,161-P
4/13/21,Fukui,1141-B
4/13/21,Minnow,158-P
4/13/21,Fukui,176-Y
4/13/21,Minnow,1323-G
4/13/21,Fukui,1436-R
4/13/21,Fukui,1358-G
4/13/21,Minnow,196-P
4/13/21,Fukui,1432-R
4/13/21,Minnow,1154-Y
4/13/21,Fukui,871-R
4/13/21,Minnow,1388-P
4/13/21,Minnow,1383-P
4/13/21,Fukui,164-Y
4/13/21,Minnow,658-P
4/13/21,Fukui,1394-G
4/13/21,Minnow,1182-B
4/13/21,Fukui,1101-Y
4/13/21,Minnow,1404-R
4/13/21,Fukui,177-Y
4/13/21,Minnow,141-P
4/13/21,Fukui,149-Y
4/13/21,Minnow,51-P
4/13/21,Fukui,1172-Y
4/13/21,Minnow,1378-P
4/13/21,Fukui,1304-G
4/13/21,Minnow,147-Y
4/13/21,Fukui,104-Y
4/13/21,Minnow,168-P
4/13/21,Fukui,1312-G
4/13/21,Minnow,1351-G
4/13/21,Fukui,581-P
4/13/21,Fukui,1361-G
4/13/21,Minnow,172-P
4/13/21,Fukui,12-P
4/13/21,Minnow,1427-R
4/13/21,Fukui,145-Y
4/13/21,Minnow,684-P
4/13/21,Fukui,367-R
4/13/21,Minnow,630-P
4/13/21,Fukui,20-P
4/13/21,Minnow,1425-R
4/13/21,Fukui,1136-B
4/13/21,Minnow,1467-R
4/13/21,Fukui,1489-R
4/13/21,Minnow,1413-R
4/13/21,Fukui,1356-G
4/13/21,Minnow,1397-P
4/13/21,Fukui,128-Y
4/13/21,Minnow,637-P
4/13/21,Fukui,573-P
4/13/21,Minnow,1148-B
4/13/21,Fukui,23-P
4/13/21,Minnow,1092-Y
4/13/21,Fukui,1190-Y
4/13/21,Minnow,173-Y
4/13/21,Fukui,1100-Y
4/13/21,Minnow,1142-B
4/13/21,Fukui,123-Y
4/13/21,Minnow,681-P
4/13/21,Fukui,115-Y
4/13/21,Minnow,166-P
4/14/21,Minnow,1106-Y
4/14/21,Fukui,1357-G
4/14/21,Minnow,142-P
4/14/21,Fukui,1431-R
4/14/21,Minnow,668-P
4/14/21,Fukui,1495-R
4/14/21,Minnow,1481-R
4/14/21,Fukui,1122-B
4/14/21,Fukui,1452-R
4/14/21,Minnow,1084-Y
4/14/21,Fukui,1429-R
4/14/21,Minnow,688-P
4/14/21,Fukui,121-Y
4/14/21,Minnow,183-P
4/14/21,Minnow,1426-R
4/14/21,Fukui,1309-G
4/14/21,Minnow,1320-G
4/14/21,Fukui,22-P
4/14/21,Minnow,174-P
4/14/21,Fukui,611-P
4/14/21,Minnow,1178-B
4/14/21,Fukui,1187-Y
4/14/21,Fukui,1194-Y
4/14/21,Minnow,1131-Y
4/14/21,Minnow,57-P
4/14/21,Fukui,1121-B
4/14/21,Fukui,1311-G
4/14/21,Minnow,678-P
4/14/21,Minnow,1389-G
4/14/21,Fukui,1124-B
4/14/21,Minnow,1151-Y
4/14/21,Fukui,1408-R
4/14/21,Minnow,1399-G
4/14/21,Fukui,1406-R
4/14/21,Minnow,160-P
4/14/21,Fukui,1316-G
4/14/21,Minnow,1107-Y
4/14/21,Fukui,1314-G
4/14/21,Minnow,161-P
4/14/21,Fukui,1141-B
4/14/21,Minnow,158-P
4/14/21,Fukui,176-Y
4/14/21,Minnow,1323-G
4/14/21,Fukui,1436-R
4/14/21,Fukui,1358-G
4/14/21,Minnow,196-P
4/14/21,Fukui,1432-R
4/14/21,Minnow,1154-Y
4/14/21,Fukui,871-R
4/14/21,Minnow,1388-P
4/14/21,Minnow,1383-P
4/14/21,Fukui,164-Y
4/14/21,Minnow,658-P
4/14/21,Fukui,1394-G
4/14/21,Minnow,1182-B
4/14/21,Fukui,1101-Y
4/14/21,Minnow,1404-R
4/14/21,Fukui,177-Y
4/14/21,Minnow,141-P
4/14/21,Fukui,149-Y
4/14/21,Minnow,51-P
4/14/21,Fukui,1172-Y
4/14/21,Minnow,1378-P
4/14/21,Fukui,1304-G
4/14/21,Minnow,147-Y
4/14/21,Fukui,104-Y
4/14/21,Minnow,168-P
4/14/21,Fukui,1312-G
4/14/21,Minnow,1351-G
4/14/21,Fukui,581-P
4/14/21,Fukui,1361-G
4/14/21,Minnow,172-P
4/14/21,Fukui,12-P
4/14/21,Minnow,1427-R
4/14/21,Fukui,145-Y
4/14/21,Minnow,684-P
4/14/21,Fukui,367-R
4/14/21,Minnow,630-P
4/14/21,Fukui,20-P
4/14/21,Minnow,1425-R
4/14/21,Fukui,1136-B
4/14/21,Minnow,1467-R
4/14/21,Fukui,1489-R
4/14/21,Minnow,1413-R
4/14/21,Fukui,1356-G
4/14/21,Minnow,1397-P
4/14/21,Fukui,128-Y
4/14/21,Minnow,637-P
4/14/21,Fukui,573-P
4/14/21,Minnow,1148-B
4/14/21,Fukui,23-P
4/14/21,Minnow,1092-Y
4/14/21,Fukui,1190-Y
4/14/21,Minnow,173-Y
4/14/21,Fukui,1100-Y
4/14/21,Minnow,1142-B
4/14/21,Fukui,123-Y
4/14/21,Minnow,681-P
4/14/21,Fukui,115-Y
4/14/21,Minnow,166-P
4/14/21,"Shrimp - 1/2""",107-Y
4/14/21,"Shrimp - 1/2""",106-Y
4/14/21,"Shrimp - 1/2""",105-Y
4/15/21,Minnow,1106-Y
4/15/21,Fukui,1357-G
4/15/21,Minnow,142-P
4/15/21,Fukui,1431-R
4/15/21,Minnow,668-P
4/15/21,Fukui,1495-R
4/15/21,Minnow,1481-R
4/15/21,Fukui,1122-B
4/15/21,Fukui,1452-R
4/15/21,Minnow,1084-Y
4/15/21,Fukui,1429-R
4/15/21,Minnow,688-P
4/15/21,Fukui,121-Y
4/15/21,Minnow,183-P
4/15/21,Minnow,1426-R
4/15/21,Fukui,1309-G
4/15/21,Minnow,1320-G
4/15/21,Fukui,22-P
4/15/21,Minnow,174-P
4/15/21,Fukui,611-P
4/15/21,Minnow,1178-B
4/15/21,Fukui,1187-Y
4/15/21,Fukui,1194-Y
4/15/21,Minnow,1131-Y
4/15/21,Minnow,57-P
4/15/21,Fukui,1121-B
4/15/21,Fukui,1311-G
4/15/21,Minnow,678-P
4/15/21,Minnow,1389-G
4/15/21,Fukui,1124-B
4/15/21,Minnow,1383-P
4/15/21,Fukui,164-Y
4/15/21,Minnow,658-P
4/15/21,Fukui,1394-G
4/15/21,Minnow,1182-B
4/15/21,Fukui,1101-Y
4/15/21,Minnow,1404-R
4/15/21,Fukui,177-Y
4/15/21,Minnow,141-P
4/15/21,Fukui,149-Y
4/15/21,Minnow,51-P
4/15/21,Fukui,1172-Y
4/15/21,Minnow,1378-P
4/15/21,Fukui,1304-G
4/15/21,Minnow,147-Y
4/15/21,Fukui,104-Y
4/15/21,Minnow,168-P
4/15/21,Fukui,1312-G
4/15/21,Minnow,1351-G
4/15/21,Fukui,581-P
4/15/21,Fukui,1361-G
4/15/21,Minnow,172-P
4/15/21,Fukui,12-P
4/15/21,Minnow,1427-R
4/15/21,Fukui,145-Y
4/15/21,Minnow,684-P
4/15/21,Fukui,367-R
4/15/21,Minnow,630-P
4/15/21,Fukui,20-P
4/15/21,Minnow,1425-R
4/15/21,Fukui,1136-B
4/15/21,Minnow,1467-R
4/15/21,Fukui,1489-R
4/15/21,Minnow,1413-R
4/15/21,Fukui,1356-G
4/15/21,Minnow,1397-P
4/15/21,Fukui,128-Y
4/15/21,Minnow,637-P
4/15/21,Fukui,573-P
4/15/21,Minnow,1148-B
4/15/21,Fukui,23-P
4/15/21,Minnow,1092-Y
4/15/21,Fukui,1190-Y
4/15/21,Minnow,173-Y
4/15/21,Fukui,1100-Y
4/15/21,Minnow,1142-B
4/15/21,Fukui,123-Y
4/15/21,Minnow,681-P
4/15/21,Fukui,115-Y
4/15/21,Minnow,166-P
4/16/21,Minnow,1106-Y
4/16/21,Fukui,1357-G
4/16/21,Minnow,142-P
4/16/21,Fukui,1431-R
4/16/21,Minnow,668-P
4/16/21,Fukui,1495-R
4/16/21,Minnow,1481-R
4/16/21,Fukui,1122-B
4/16/21,Fukui,1452-R
4/16/21,Minnow,1084-Y
4/16/21,Fukui,1429-R
4/16/21,Minnow,688-P
4/16/21,Fukui,121-Y
4/16/21,Minnow,183-P
4/16/21,Minnow,1426-R
4/16/21,Fukui,1309-G
